tid,_desc,AssetFileName,AssetType
SPR_Male_Hair001,,SPR_Male_Hair001,PaperSprite
SPR_Male_Hair002,,SPR_Male_Hair002,PaperSprite
SPR_Male_Hair003,,SPR_Male_Hair003,PaperSprite
SPR_Female_Hair001,,SPR_Female_Hair001,PaperSprite
SPR_Female_Hair002,,SPR_Female_Hair002,PaperSprite
SPR_Female_Hair003,,SPR_Female_Hair003,PaperSprite
SPR_Female_Hair004,,SPR_Female_Hair004,PaperSprite
SPR_Female_Clothes001,,SPR_Female_Clothes001,PaperSprite
SPR_Female_Clothes002,,SPR_Female_Clothes002,PaperSprite
SPR_None_Clothes001,,SPR_None_Clothes001,PaperSprite
SPR_Male_bottom001,,SPR_Male_bottom001,PaperSprite
SPR_None_bottom002,,SPR_None_bottom002,PaperSprite
SPR_None_bottom003,,SPR_None_bottom003,PaperSprite
SPR_Female_bottom001,,SPR_Female_bottom001,PaperSprite
SPR_Female_bottom002,,SPR_Female_bottom002,PaperSprite
SPR_Female_Top001,,SPR_Female_Top001,PaperSprite
SPR_Female_Top002,,SPR_Female_Top002,PaperSprite
SPR_Male_Top001,,SPR_Male_Top001,PaperSprite
SPR_None_Top002,,SPR_None_Top002,PaperSprite
SPR_None_Top003,,SPR_None_Top003,PaperSprite
SPR_None_Shoes,,SPR_None_Shoes,PaperSprite
SPR_None_Top001,,SPR_None_Top001,PaperSprite
SPR_Male_Clothes001,,SPR_Male_Clothes001,PaperSprite
SPR_NickName_Image,,SPR_NickName_Image,PaperSprite
SPR_Hand_Image,,SPR_Hand_Image,PaperSprite
SPR_Heart_Image,,SPR_Heart_Image,PaperSprite
SPR_Smile_Image,,SPR_Smile_Image,PaperSprite
SPR_None_Top004,,SPR_None_Top004,PaperSprite
SPR_Error_Image,,SPR_Error_Image,PaperSprite
SPR_Female_Hair001_2,,SPR_Female_Hair001_2,PaperSprite
SPR_Female_Hair002_2,,SPR_Female_Hair002_2,PaperSprite
SPR_Female_Hair003_2,,SPR_Female_Hair003_2,PaperSprite
SPR_Female_Hair004_2,,SPR_Female_Hair004_2,PaperSprite
SPR_Male_Hair001_2,,SPR_Male_Hair001_2,PaperSprite
SPR_Male_Hair002_2,,SPR_Male_Hair002_2,PaperSprite
SPR_Male_Hair003_2,,SPR_Male_Hair003_2,PaperSprite
SPR_Female_bottom001_2,,SPR_Female_bottom001_2,PaperSprite
SPR_None_bottom001_2,,SPR_None_bottom001_2,PaperSprite
SPR_None_bottom002_2,,SPR_None_bottom002_2,PaperSprite
SPR_None_bottom002_3,,SPR_None_bottom002_3,PaperSprite
SPR_None_Clothes001_2,,SPR_None_Clothes001_2,PaperSprite
SPR_None_Top002_2,,SPR_None_Top002_2,PaperSprite
SPR_None_Top002_3,,SPR_None_Top002_3,PaperSprite
SPR_None_Top004_2,,SPR_None_Top004_2,PaperSprite
SPR_Classroom_Button,,SPR_Classroom_Button,PaperSprite
SPR_Conseling_Button,,SPR_Conseling_Button,PaperSprite
SPR_StudyCafe_Button,,SPR_StudyCafe_Button,PaperSprite
SPR_Gampad_Image,,SPR_Gampad_Image,PaperSprite
SPR_Group_Button,,SPR_Group_Button,PaperSprite
SPR_MS_Time_Image,,SPR_MS_Time_Image,PaperSprite
